metric,dataset,value
RMSE,train,0.9980024115107112
RMSE,train,0.9729455418083155
RMSE,train,0.9666800071902916
RMSE,train,0.9865812373443679
RMSE,train,0.9924278568885435
RMSE,train,0.9863298170622863
RMSE,train,0.9754547244738956
RMSE,train,0.9758442793464868
RMSE,train,0.9562755481573295
RMSE,train,0.9788071432277021
RMSE,test,1.5993075243187376
RMSE,test,1.8682907229058385
RMSE,test,1.716159671926394
RMSE,test,1.7114115019242033
RMSE,test,2.0055178580904918
RMSE,test,1.7787841996251428
RMSE,test,1.528589233529021
RMSE,test,1.6547879657738396
RMSE,test,2.077237965277953
RMSE,test,1.7789959616441013
R2,train,0.8517439365386963
R2,train,0.859045684337616
R2,train,0.8590288162231445
R2,train,0.8514826893806458
R2,train,0.848812460899353
R2,train,0.8537166714668274
R2,train,0.8574481010437012
R2,train,0.8566482663154602
R2,train,0.8567776679992676
R2,train,0.8561367988586426
R2,test,0.5439548492431641
R2,test,0.3869774341583252
R2,test,0.5319422483444214
R2,test,0.5909531116485596
R2,test,0.4579249620437622
R2,test,0.49574553966522217
R2,test,0.6145586967468262
R2,test,0.567531943321228
R2,test,0.48650264739990234
R2,test,0.49052155017852783
MAE,train,0.7644857168197632
MAE,train,0.7445705533027649
MAE,train,0.7383524775505066
MAE,train,0.7601210474967957
MAE,train,0.7592705488204956
MAE,train,0.7565021514892578
MAE,train,0.7499954700469971
MAE,train,0.7449401021003723
MAE,train,0.7423281073570251
MAE,train,0.7515519261360168
MAE,test,1.2485212087631226
MAE,test,1.38015878200531
MAE,test,1.372747540473938
MAE,test,1.3331853151321411
MAE,test,1.5097318887710571
MAE,test,1.4065114259719849
MAE,test,1.1949059963226318
MAE,test,1.3524926900863647
MAE,test,1.5626804828643799
MAE,test,1.3657259941101074
Fit_time,train,13.358279466629028
Fit_time,train,11.150680541992188
Fit_time,train,10.488547325134277
Fit_time,train,9.95301342010498
Fit_time,train,9.445202350616455
Fit_time,train,9.932151079177856
Fit_time,train,9.910887479782104
Fit_time,train,9.533219337463379
Fit_time,train,10.621968984603882
Fit_time,train,10.58817720413208
Fit_time,test,0.007999658584594727
Fit_time,test,0.008000612258911133
Fit_time,test,0.0069997310638427734
Fit_time,test,0.007003068923950195
Fit_time,test,0.006506681442260742
Fit_time,test,0.008001089096069336
Fit_time,test,0.0069997310638427734
Fit_time,test,0.007000446319580078
Fit_time,test,0.00700068473815918
Fit_time,test,0.00599980354309082
