metric,dataset,value
RMSE,train,0.33676306190952054
RMSE,train,0.33177619665598124
RMSE,train,0.33079340167552096
RMSE,train,0.3326298760475752
RMSE,train,0.3477910822698492
RMSE,train,0.33549001635389764
RMSE,train,0.3274683793263948
RMSE,train,0.3306078597566633
RMSE,train,0.3284712639462216
RMSE,train,0.3339345246369669
RMSE,test,0.6068933241516116
RMSE,test,0.653618450088697
RMSE,test,0.6371569886790297
RMSE,test,0.6196628350653332
RMSE,test,0.6148398476117845
RMSE,test,0.5586754296254168
RMSE,test,0.6790998624635314
RMSE,test,0.6637052714571989
RMSE,test,0.6538776161072779
RMSE,test,0.6782682327756354
R2,train,0.7593892921968919
R2,train,0.7613668344874527
R2,train,0.766810691179766
R2,train,0.764115984026629
R2,train,0.7408995408261954
R2,train,0.7641195319102567
R2,train,0.7677959017588432
R2,train,0.765319491783692
R2,train,0.7643723254630993
R2,train,0.761667130697044
R2,test,0.13176534729959566
R2,test,0.166249416874644
R2,test,0.08584424470304652
R2,test,0.14012419373279317
R2,test,0.18991446226419595
R2,test,0.16006361693563065
R2,test,0.09777414665042461
R2,test,0.07596578365890738
R2,test,0.21567275475535652
R2,test,-0.005842781082769033
MAE,train,0.2418322843734628
MAE,train,0.2382727659778285
MAE,train,0.23723196660338483
MAE,train,0.239276655015201
MAE,train,0.2501943725739058
MAE,train,0.24117102689417638
MAE,train,0.23460112751624956
MAE,train,0.23596876537924086
MAE,train,0.23569899149092557
MAE,train,0.2396550433875914
MAE,test,0.42975639829055184
MAE,test,0.45056759525193096
MAE,test,0.4568952658349041
MAE,test,0.42574919090563473
MAE,test,0.43083215698770666
MAE,test,0.4002782455518499
MAE,test,0.4793530487643909
MAE,test,0.48643774373643406
MAE,test,0.46785548452194825
MAE,test,0.4798676093502194
